Time (UTC),TEC (TECU)
2024-04-09 11:37:00,106.14402268587494
2024-04-09 11:37:30,106.20114051950368
2024-04-09 11:38:00,103.32620827168564
2024-04-09 11:38:30,100.27992238112765
2024-04-09 11:39:00,100.51791348461333
2024-04-09 11:39:30,103.07869754108299
2024-04-09 11:40:00,100.2037652578015
2024-04-09 11:40:30,101.21284743444609
2024-04-09 11:41:00,98.71870087418557
2024-04-09 11:41:30,99.58498843129487
2024-04-09 11:42:00,100.23232417461588
2024-04-09 11:42:30,103.2405314857791
2024-04-09 11:43:00,99.2518009502491
2024-04-09 11:43:30,97.68105978072663
2024-04-09 11:44:00,98.12848299995673
2024-04-09 11:44:30,102.89782430668949
2024-04-09 11:45:00,102.57415645276069
2024-04-09 11:45:30,95.31066858576743
2024-04-09 11:46:00,95.24403108955829
2024-04-09 11:46:30,93.52097563792012
2024-04-09 11:47:00,98.49974909586072
2024-04-09 11:47:30,95.19643288304653
2024-04-09 11:48:00,97.9380901739097
2024-04-09 11:48:30,97.31931334740305
2024-04-09 11:49:00,99.0423687635778
2024-04-09 11:49:30,95.37730611744003
2024-04-09 11:50:00,95.15835430365175
2024-04-09 11:50:30,92.76892385445859
2024-04-09 11:51:00,97.11940082331216
2024-04-09 11:51:30,103.20245290638431
2024-04-09 11:52:00,100.75590455263556
2024-04-09 11:52:30,91.99783274583626
2024-04-09 11:53:00,92.44525600052982
2024-04-09 11:53:30,92.55949170325073
2024-04-09 11:54:00,92.52141312385595
2024-04-09 11:54:30,90.66508267979947
2024-04-09 11:55:00,90.66508267979947
2024-04-09 11:55:30,91.69320414614144
2024-04-09 11:56:00,94.16831141670457
2024-04-09 11:56:30,93.82560423761494
2024-04-09 11:57:00,91.95023453932451
2024-04-09 11:57:30,92.6070899097625
2024-04-09 11:58:00,91.63608627704927
2024-04-09 11:58:30,92.71180598536642
2024-04-09 11:59:00,87.76159147970361
2024-04-09 11:59:30,91.22674163721392
2024-04-09 12:00:00,91.63608631251269
2024-04-09 12:00:30,87.21897181198655
2024-04-09 12:01:00,87.68543435637748
2024-04-09 12:01:30,89.90351123375754
2024-04-09 12:02:00,87.11425573638262
2024-04-09 12:02:30,83.69670378538406
2024-04-09 12:03:00,87.49504145940357
2024-04-09 12:03:30,89.16097900648614
